0,CombatZoneResize,121,186,526,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0.5,SET,Loop,38,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,21,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,23,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,25,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,27,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster2,1,$X,$Y,$EndX,$EndY,$Ang,0.26,150,0,5
0.26666,JMPNZ,6,$Loop,,,,,,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster,2,640,0,563,$Y,180,0.8,0.08,0,0,
0,GasterBlaster3,4,320,0,320,166,145,0.3,2,1,-0.5,
0,GasterBlaster3,4,320,0,320,166,35,0.3,2,0,0.5,
3,SansBody,HandLeft,,,,,,,
0.1,BoneStab,0,300,0,0.3,,,,
0.5,SansBody,HandLeft,,,,,,,
0,SansSlam,2,,,,,,,
0,CombatZoneResize,133,251,163,391,,,,
0.75,SansBody,Right,,,,,,,
0,SansSlam,0,,,,,,,
0.25,SansAnimations,Idle,,,,,,,
0.75,CombatZoneSpeed,50,,,,,,,
0,CombatZoneResize,473,251,508,391,,,,
2.5,Sound,DIng,,,,,,,
0,CombatZoneSpeed,150,,,,,,,
1.5,CombatZoneSpeed,480,,,,,,,
0,CombatZoneResize,433,251,508,391,,,,
1,CombatZoneSpeed,1000,,,,,,,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster2,2,0,0,73,$Y,0,0.26,150,0,5,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster2,2,640,0,563,$Y,180,0.26,150,0,5,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster2,2,0,0,73,$Y,0,0.26,150,0,5,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster2,2,640,0,563,$Y,180,0.26,150,0,5,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster2,2,0,0,73,$Y,0,0.26,150,0,5,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster2,2,640,0,563,$Y,180,0.26,150,0,5,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster2,2,0,0,73,$Y,0,0.26,150,0,5,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster2,2,640,0,563,$Y,180,0.26,150,0,5,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster2,2,0,0,73,$Y,0,0.26,150,0,5,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster2,2,640,0,563,$Y,180,0.26,150,0,5,
0.26666,JMPNZ,6,$Loop,,,,,,
0.35,EndAttack,,,,,,,,
